,이름,내용,이동번호,멀티챕터,싱글챕터,퀴즈,비고
1,버튼1개,아이란은 교수의 사무실 안으로 들어왔습니다.,Start,,AR1C1_Popup,,__AR1C1__
2,버튼종료,방 둘러보기,,,,,
3,,아이란이 비어 있는 책장을 탐색합니다.,,,,,
4,아이란,여기는 책이 비어있네.,,,AR1C1_BackBtn,,
5,,아이란이 세 번째 책장을 탐색합니다.,,,,,
6,아이란,ⓑ색이 특이한 책ⓦ이 있네?\n이따 다시 봐야겠다.,,,AR1C1_BackBtn,,
7,,아이란이 책상을 탐색합니다.,,,,,
8,아이란,하@ 뭐 이렇게 정리가\n안 되어있어...,,,,,
9,Q_Medium,책상 위를 탐색하며@\n숨겨져 있는 ⓑ열쇠ⓦ와 ⓑ수상한 서류ⓦ를 찾아보세요!\n\n제한시간: 없음,,,,AR1C1_Q1,
10,,ⓑ열쇠ⓦ를 발견했습니다!,,,,AR1C1_Q1_Key,
11,아이란,열쇠는 어디에 쓰는 거지?,,,,AR1C1_Q1_Check,
12,,ⓑ수상한 서류ⓦ를 발견했습니다!,,,,AR1C1_Q1_Paper,
13,아이란,서류는 내용을 확인해봐야겠다.,,,,AR1C1_Q1_Check,
14,,필요한 물건을 모두 획득했습니다.\n시스템 ⓑ내 가방ⓦ이 해금되었습니다.,,,AR1C1_InventoryUnLock,,
15,,방을 탐색하며 수상한 서류의 비밀을 풀어보세요!,,,AR1C1_BackBtn,,
16,,아이란이 세 번째 책장을 탐색합니다.,,,,,
17,아이란,ⓑ색이 특이한 책ⓦ이 있네?\n챙겨볼까...,,,,,
18,,책을 하나씩 클릭하세요!,,,AR1C1_JustOneText,,
19,,아이란이 비어 있는 책장을 탐색합니다.,,,,,
20,아이란,뭔가 더 필요한 것 같은데...,,,AR1C1_BackBtn,,
21,,아이란이 비어 있는 책장을 탐색합니다.,,,,,
22,아이란,한 번 책을 꽂아볼까?,,,,,
23,,책을 순서에 맞게 배열하세요!,,,,AR1C1_Q2,
24,,잘못된 책을 넣어 경보음이 울립니다!,,,,,
25,아이란,하.. 다음에 다시 와야겠네.,,,,,
26,Fail,책을 잘못 넣어 ⓡ경보음ⓦ이 울렸습니다.,,,,,
27,,책장 뒤 ⓑ비밀공간ⓦ을 발견했습니다!,,,,,
28,,교수의 비밀공간에 들어왔습니다.,,,,,
29,,벽에 붙은 ⓑ존스티나 공작령 지도ⓦ를 발견했습니다.,JustOne,,,,
30,아이란,벽면에 뜬금없이... 공작령 지도가 있네.,,,,AR1C1_Q5,
31,,ⓑ달력ⓦ을 발견했습니다!,,,,,
32,아이란,지금은 10월인데 9월 달력이 있네.,,,,,
33,아이란,이 교수는 꼼꼼한 성격인데..,,,AR1C1_Calendar,,
34,,ⓑ빈 종이ⓦ를 발견했습니다.,,,,,
35,버튼1개,종이에는 아무 내용도 적혀있지 않습니다.\n어째서 일까요 ?,,,,AR1C1_Q3,
36,버튼종료,스킬창 열기,,,,,
37,아이란,이건 너무 뻔하네. 불에 그슬리라는 거잖아?,,,,,
38,,스킬 ⓑ(C) 작은 불씨도 조심ⓦ을 사용하여\n만들어진 불로 종이를 그슬립니다.,,,AR1C1_Paper,,
39,,ⓑ빼돌려진 수사일지ⓦ를 발견했습니다!,,,,,
40,아이란,이걸 원본째 가져왔다니...\n공작령 수사 시스템 아주 잘 돌아가네@ 잘 돌아가.,,,AR1C1_Confidential,,
41,버튼1개,빼돌려진 수사일지에 적힌 수사 내용을 보고@\nⓑ거짓말을 하고 있는 사람ⓦ을 찾아내보세요!,,,,AR1C1_Q4,
42,버튼종료,수사 내용 열기,,,,,
43,,범인은 바나나가 아니었습니다.,3,Jump,AR1C1_ToBanana,,
44,,범인은 크림이 아니었습니다.,2,Jump,AR1C1_ToCream,,
45,,범인은 도넛이 아니었습니다.,,,AR1C1_ToDoughnut,,
46,Fail,아이란은 ⓡ잘못된 범인ⓦ을 추리했습니다.\n잘못된 범인을 수색하느라\n시간이 부족해 범인을 제때 잡지 못했습니다.,,,,,
47,,범인은 애플이었습니다!,,,AR1C1_ToApple,,
48,아이란,범인이 누구인지 알았으니\n범인이 도주한 지역을 알아봐야겠어.,,,,AR1C1_Q4Success,
49,아이란,방에 있는 물건들을 참고해야 할 것 같은데...,,,,AR1C1_Q5Text,
50,Popup,선택하기,,,,AR1C1_Q5Result,
51,,돌아가기,,,,,
52,Fail,아이란은 ⓡ잘못된 지역ⓦ으로 이동했습니다.\n시간이 부족해 범인을 제때 잡지 못했습니다.,,,,,
53,,,Success,,,,
54,,핌브리아 거리의 뒷골목에 도착했습니다.,,,,,__AR1C2__
55,아이란,아무리 범죄로 유명한 핌브리아 거리라지만...\n사람이 너무 없는 거 아니야?,,,,,
56,,바닥에서 푸른 가루를 발견했습니다.,,,,,
57,아이란,이런 위험한 게 바닥에 있다니...,,,,,
58,아이란,ⓑ정보상ⓦ부터 찾아가야겠어.,,,,,
59,선택지1개,정보상으로 이동하기,,,AR1C2_정보상이동,,
60,,존스티나 공작가는 공작령 곳곳에\n눈과 귀가 되어줄 정보상을 두고 있습니다.,,,,,
61,직원,저희 술집은 ⓑ미성년자 출입 금지ⓦ예요!,,,,,
62,선택지2개,내가 누군지 모르냐고\n 화를 낸다.,63,Text,,,
